all_repo_names,all_tool_names
neural-tangent-kernel-UCI,"numpy==1.18.3
,scikit_learn==0.22.2.post1
"
rio-paper,"tensorflow==1.12.0
,gpflow==1.3.0
,matplotlib==3.0.3
,numpy==1.16.2
,scikit-learn==0.20.3
,pandas==0.24.2
"
RLFAT,"numpy==1.18.3
,keras==2.3.1
,opencv_python==4.1.2.30
,scikit_image==0.16.2
,tensorflow==2.2.0rc3
,skimage==0.0
"
How-to-0wn-NAS-in-Your-Spare-Time,"matplotlib==3.1.2
,networkx==2.4
,numpy==1.17.4
"
phattacks,"torchvision==0.6.0+cu101
,opencv_python==4.1.2.30
,torchsummary==1.5.1
,scipy==1.4.1
,torch==1.5.0+cu101
,statsmodels==0.10.2
,matplotlib==3.2.1
,numpy==1.18.3
,foolbox==3.0.0
,pillow==7.1.2
,torchfile==0.1.0
"
four_things_batch_norm,"tensorflow==2.2.0rc3
"
Explorer,"tqdm==4.31.1
,psutil==5.6.6
,opencv_python==4.1.0.25
,matplotlib==3.0.3
,numpy==1.15.4
,seaborn==0.9.0
,torch==1.1.0
,pandas==0.24.2
,gym==0.12.4
,tensorboardx==1.7
"
neural-imaging,"tensorboard==2.1.0
,tensorflow-gpu==2.1.0
,numpy==1.18.1
,scipy==1.4.1
,scikit-image==0.16.2
,colour-demosaicing
,rawkit
,exifread
,tqdm
,imageio
,matplotlib
,tikzplotlib
,sewar
,dahuffman
,sklearn
,python-levenshtein
,latex
,pdf2image
,loguru"
sparsity-normalization,"
"
NDQ,"absl-py==0.5.0
,atomicwrites==1.2.1
,attrs==18.2.0
,certifi==2018.8.24
,chardet==3.0.4
,cycler==0.10.0
,docopt==0.6.2
,enum34==1.1.6
,future==0.16.0
,idna==2.7
,imageio==2.4.1
,jsonpickle==0.9.6
,kiwisolver==1.0.1
,matplotlib==3.0.0
,mock==2.0.0
,more-itertools==4.3.0
,mpyq==0.2.5
,munch==2.3.2
,numpy==1.15.2
,pathlib2==2.3.2
,pbr==4.3.0
,pillow==5.3.0
,pluggy==0.7.1
,portpicker==1.2.0
,probscale==0.2.3
,protobuf==3.6.1
,py==1.6.0
,pygame==1.9.4
,pyparsing==2.2.2
,pysc2==2.0.2
,pytest==3.8.2
,python-dateutil==2.7.3
,pyyaml==3.13
,requests==2.19.1
,s2clientprotocol==4.6.1.68195.0
,sacred==0.7.2
,scipy==1.1.0
,six==1.11.0
,sk-video==1.1.10
,snakeviz==1.0.0
,tensorboard-logger==0.1.0
,torch==0.4.1
,torchvision==0.2.1
,tornado==5.1.1
,urllib3==1.23
,websocket-client==0.53.0
,whichcraft==0.5.2
,wrapt==1.10.11
,git+https://github.com/oxwhirl/smac.git
"
ASN,"absl-py==0.5.0
,atomicwrites==1.2.1
,attrs==18.2.0
,certifi==2018.8.24
,chardet==3.0.4
,cycler==0.10.0
,docopt==0.6.2
,enum34==1.1.6
,future==0.16.0
,idna==2.7
,imageio==2.4.1
,jsonpickle==0.9.6
,kiwisolver==1.0.1
,matplotlib==3.0.0
,mock==2.0.0
,more-itertools==4.3.0
,mpyq==0.2.5
,munch==2.3.2
,numpy==1.15.2
,pathlib2==2.3.2
,pbr==4.3.0
,pillow==5.3.0
,pluggy==0.7.1
,portpicker==1.2.0
,probscale==0.2.3
,protobuf==3.6.1
,py==1.6.0
,pygame==1.9.4
,pyparsing==2.2.2
,pysc2==2.0.2
,pytest==3.8.2
,python-dateutil==2.7.3
,pyyaml==3.13
,requests==2.19.1
,s2clientprotocol==4.6.1.68195.0
,sacred==0.7.2
,scipy==1.1.0
,six==1.11.0
,sk-video==1.1.10
,snakeviz==1.0.0
,tensorboard-logger==0.1.0
,torch==0.4.1
,torchvision==0.2.1
,tornado==5.1.1
,urllib3==1.23
,websocket-client==0.53.0
,whichcraft==0.5.2
,wrapt==1.10.11
,git+https://github.com/oxwhirl/smac.git
"
difftaichi,"taichi==0.5.13
,matplotlib
,numpy
"
group_DRO,"scipy==1.4.1
,pandas==1.0.3
,tqdm==4.38.0
,torchvision==0.6.0+cu101
,matplotlib==3.2.1
,numpy==1.18.3
,torch==1.5.0+cu101
,pillow==7.1.2
,pytorch_transformers==1.2.0
,scikit_learn==0.22.2.post1
"
mma_training,"torch>=1.0.0
,torchvision>=0.2.1
,advertorch>=0.2.2
"
EMPIR,"scipy
,tensorflow
,keras
,matplotlib
"
AtomNAS,"torch>=1.0
,torchvision>=0.3
,pyyaml>=3.13
,lmdb
,pyarrow
,pillow-simd
,tqdm
"
Regularized_autoencoders-RAE-,"absl-py==0.8.0
,astor==0.8.0
,gast==0.2.2
,google-pasta==0.1.7
,grpcio==1.24.1
,h5py==2.10.0
,imageio==2.8.0
,keras==2.3.1
,keras-applications==1.0.8
,keras-preprocessing==1.1.0
,markdown==3.1.1
,numpy==1.17.2
,opt-einsum==3.1.0
,pillow==7.0.0
,pkg-resources==0.0.0
,protobuf==3.10.0
,pyyaml==5.1.2
,scipy==1.3.1
,six==1.12.0
,tensorboard==2.0.0
,tensorflow==2.0.0
,tensorflow-estimator==2.0.0
,termcolor==1.1.0
,werkzeug==0.16.0
,wrapt==1.11.2
"
APoT_Quantization,"numpy==1.18.3
,torchvision==0.6.0+cu101
,matplotlib==3.2.1
,torch==1.5.0+cu101
,tensorboardx==2.0
"
kge,"pandas==1.0.3
,torch==1.5.0+cu101
,numba==0.48.0
,dataclasses==0.7
,numpy==1.18.3
,ax==0.48.0
,path.py==12.4.0
,pyyaml==5.3.1
"
Neural-SLAM,"matplotlib
,tensorboard
,seaborn==0.9.0
,imageio==2.6.0
,scikit-fmm==2019.1.30
,scikit-image==0.15.0
,scikit-learn==0.22.2.post1
"
certifiedpatchdefense,"matplotlib==3.2.1
,torch==1.5.0+cu101
,torchvision==0.6.0+cu101
,numpy==1.18.3
,tqdm==4.38.0
,pillow==7.1.2
"
LMRS,"numpy==1.18.3
,torch==1.5.0+cu101
,click==7.1.2
,gym==0.17.1
,cma==3.0.3
,ray==0.8.4
,tensorboardx==2.0
"
estimating-gradients-without-replacement,"numpy==1.18.3
,tensorflow==2.2.0rc3
,tqdm==4.38.0
,torch==1.5.0+cu101
"
Distributional-Signatures,"torchtext==0.3.1
,torch==1.5.0+cu101
,tqdm==4.38.0
,termcolor==1.1.0
,numpy==1.18.3
,transformers==2.8.0
"
GansFallingShort,"matplotlib==3.2.1
,torch==1.5.0+cu101
,nltk==3.2.5
,numpy==1.18.3
,seaborn==0.10.1
,pillow==7.1.2
,tensorboardx==2.0
"
Equivalence,"
"
neural_3d_mapping,"
"
ZMZM-ICLR-2020,"numpy==1.18.3
,scipy==1.4.1
"
WhiteNoiseAnalysis,"
"
multi-agent-emergence-environments,"cloudpickle==1.3.0
,tensorflow==2.2.0rc3
,click==7.1.2
,scipy==1.4.1
,numpy==1.18.3
,gym==0.17.1
,baselines==0.1.5
,glfw==1.11.0
,mujoco_py==2.0.2.9
"
BayesOpt_Attack,"torch==1.5.0+cu101
,tensorflow==2.2.0rc3
,scipy==1.4.1
,numpy==1.18.3
,six==1.12.0
,gpy==1.9.9
,gpyopt==1.2.6
,pillow==7.1.2
,pydoe==0.3.8
"
OptimalStrategiesAgainstGenerativeAttacks,"colorama==0.4.1
,opencv-python==4.1.0.25
,matplotlib==2.1.2
,numpy==1.16.4
,pandas==0.24.2
,pip==20.0.2
,plotly==4.6.0
,scikit-learn==0.21.2
,seaborn==0.9.0
,tensorboard
,tensorboardx==1.7
,tensorflow
,torch==1.2.0
,torchvision==0.4.0
,tqdm==4.32.1"
NSM,"absl-py==0.6.1
,alabaster==0.7.11
,anaconda-client==1.7.2
,anaconda-project==0.8.2
,appdirs==1.4.3
,asn1crypto==0.24.0
,astor==0.7.1
,astroid==2.0.4
,astropy==3.0.4
,atomicwrites==1.2.1
,attrs==18.2.0
,automat==0.7.0
,babel==2.6.0
,backcall==0.1.0
,backports.shutil-get-terminal-size==1.0.0
,beautifulsoup4==4.6.3
,billiard==3.5.0.5
,bitarray==0.8.3
,bkcharts==0.2
,blaze==0.11.3
,bleach==2.1.4
,bokeh==0.13.0
,boto==2.49.0
,boto3==1.9.67
,botocore==1.12.67
,bottleneck==1.2.1
,bz2file==0.98
,certifi==2018.11.29
,cffi==1.11.5
,chardet==3.0.4
,click==6.7
,cloudpickle==0.5.5
,clyent==1.2.2
,colorama==0.3.9
,comtypes==1.1.7
,constantly==15.1.0
,contextlib2==0.5.5
,cryptography==2.4.2
,cycler==0.10.0
,cython==0.28.5
,cytoolz==0.9.0.1
,dask==0.19.1
,datashape==0.5.4
,decorator==4.3.0
,defusedxml==0.5.0
,distributed==1.23.1
,docutils==0.14
,editdistance==0.5.2
,entrypoints==0.2.3
,et-xmlfile==1.0.1
,fastcache==1.0.2
,filelock==3.0.8
,flask==1.0.2
,flask-cors==3.0.6
,fonttools==3.33.0
,future==0.17.1
,gast==0.2.0
,gensim==3.6.0
,gevent==1.3.6
,glob2==0.6
,greenlet==0.4.15
,grpcio==1.16.1
,gym==0.10.9
,h5py==2.8.0
,heapdict==1.0.0
,html5lib==1.0.1
,hyperlink==18.0.0
,idna==2.7
,imageio==2.4.1
,imagesize==1.1.0
,imgaug==0.2.6
,incremental==17.5.0
,ipykernel==4.9.0
,ipython==6.5.0
,ipython-genutils==0.2.0
,ipywidgets==7.4.1
,isort==4.3.4
,itsdangerous==0.24
,jdcal==1.4
,jedi==0.12.1
,jinja2==2.10
,jmespath==0.9.3
,jsonschema==2.6.0
,jupyter==1.0.0
,jupyter-client==5.2.3
,jupyter-console==5.2.0
,jupyter-core==4.4.0
,jupyterlab==0.34.9
,jupyterlab-launcher==0.13.1
,keras==2.2.4
,keras-applications==1.0.6
,keras-preprocessing==1.0.5
,keyring==13.2.1
,kiwisolver==1.0.1
,lazy-object-proxy==1.3.1
,llvmlite==0.24.0
,locket==0.2.0
,lxml==4.2.5
,markdown==3.0.1
,markupsafe==1.0
,matplotlib==2.2.3
,mccabe==0.6.1
,menuinst==1.4.14
,mistune==0.8.3
,mkl-fft==1.0.4
,mkl-random==1.0.1
,more-itertools==4.3.0
,mpmath==1.0.0
,msgpack==0.5.6
,multipledispatch==0.6.0
,natsort==5.5.0
,nbconvert==5.4.0
,nbformat==4.4.0
,networkx==2.1
,nltk==3.3
,nose==1.3.7
,notebook==5.6.0
,numba==0.39.0
,numexpr==2.6.8
,numpy==1.15.1
,numpydoc==0.8.0
,odo==0.5.1
,olefile==0.46
,opencv-python==3.4.4.19
,openpyxl==2.5.6
,packaging==17.1
,pandas==0.23.4
,pandocfilters==1.4.2
,parso==0.3.1
,partd==0.3.8
,path.py==11.1.0
,pathlib2==2.3.2
,patsy==0.5.0
,pep8==1.7.1
,pickleshare==0.7.4
,pillow==5.2.0
,pkginfo==1.4.2
,pluggy==0.7.1
,ply==3.11
,prometheus-client==0.3.1
,prompt-toolkit==1.0.15
,protobuf==3.6.1
,psutil==5.4.7
,py==1.6.0
,pyasn1==0.4.4
,pyasn1-modules==0.2.2
,pycodestyle==2.4.0
,pycosat==0.6.3
,pycparser==2.18
,pycrypto==2.6.1
,pycurl==7.43.0.2
,pyflakes==2.0.0
,pyglet==1.3.2
,pygments==2.2.0
,pylint==2.1.1
,pyodbc==4.0.24
,pyopenssl==18.0.0
,pyparsing==2.2.0
,pysocks==1.6.8
,pytest==3.8.0
,pytest-arraydiff==0.2
,pytest-astropy==0.4.0
,pytest-doctestplus==0.1.3
,pytest-openfiles==0.3.0
,pytest-remotedata==0.3.0
,python-dateutil==2.7.3
,pytz==2018.5
,pywavelets==1.0.0
,pywin32==223
,pywinpty==0.5.4
,pyyaml==3.13
,pyzmq==17.1.2
,qtawesome==0.4.4
,qtconsole==4.4.1
,qtpy==1.5.0
,requests==2.19.1
,rope==0.11.0
,ruamel-yaml==0.15.46
,s3transfer==0.1.13
,scikit-image==0.14.0
,scikit-learn==0.19.2
,scipy==1.1.0
,seaborn==0.9.0
,send2trash==1.5.0
,service-identity==17.0.0
,simplegeneric==0.8.1
,singledispatch==3.4.0.3
,six==1.11.0
,smart-open==1.7.1
,snowballstemmer==1.2.1
,sortedcollections==1.0.1
,sortedcontainers==2.0.5
,sphinx==1.7.9
,sphinxcontrib-websupport==1.1.0
,spyder==3.3.1
,spyder-kernels==0.2.6
,sqlalchemy==1.2.11
,statsmodels==0.9.0
,sympy==1.2
,tables==3.4.4
,tblib==1.3.2
,tensorboard==1.12.0
,tensorboard-logger==0.1.0
,tensorflow==1.12.0
,tensorflow-gpu==1.12.0
,termcolor==1.1.0
,terminado==0.8.1
,testpath==0.3.1
,textdistance==3.0.3
,toolz==0.9.0
,torch==1.0.0
,torchfile==0.1.0
,torchvision==0.2.1
,tornado==5.1
,tqdm==4.26.0
,traitlets==4.3.2
,twisted==18.7.0
,typed-ast==1.1.0
,unicodecsv==0.14.1
,urllib3==1.23
,visdom==0.1.8.8
,wcwidth==0.1.7
,webencodings==0.5.1
,websocket-client==0.54.0
,werkzeug==0.14.1
,widgetsnbextension==3.4.1
,win-inet-pton==1.0.1
,win-unicode-console==0.5
,wincertstore==0.2
,wrapt==1.10.11
,xlrd==1.1.0
,xlsxwriter==1.1.0
,xlwings==0.11.8
,xlwt==1.3.0
,zict==0.1.3
,zope.interface==4.5.0
"
dnn-gating,"numpy==1.18.3
,torch==1.5.0+cu101
,matplotlib==3.2.1
,torchvision==0.6.0+cu101
"
lnfmm,"nltk==3.2.5
,scipy==1.4.1
,numpy==1.18.3
,tqdm==4.38.0
,pycocotools==2.0.0
,torchvision==0.6.0+cu101
,torch==1.5.0+cu101
,pillow==7.1.2
"
Mixup-Inference,"scipy==1.4.1
,tensorflow==2.2.0rc3
,tqdm==4.38.0
,matplotlib==3.2.1
,torchvision==0.6.0+cu101
,h5py==2.10.0
,torch==1.5.0+cu101
,numpy==1.18.3
,coloredlogs==14.0
,mxnet==1.6.0
,pillow==7.1.2
"
RepDistiller,"numpy==1.18.3
,torch==1.5.0+cu101
,torchvision==0.6.0+cu101
,pillow==7.1.2
,tensorboard_logger==0.1.0
"
PairNorm,"torch==1.5.0+cu101
,numpy==1.18.3
,scipy==1.4.1
,torch_geometric==1.4.3
,torch_scatter==2.0.4
,torch_sparse==0.6.1
"
adversarial-negative-sampling,"tensorflow==2.2.0rc3
,h5py==2.10.0
,tqdm==4.38.0
,numpy==1.18.3
"
why-clipping-accelerates,"numpy==1.18.3
,torch==1.5.0+cu101
"
saliency_maps,"absl-py==0.7.0
,astor==0.7.1
,atari-py==0.1.7
,baselines==0.1.5
,certifi==2018.11.29
,cffi==1.12.1
,chardet==3.0.4
,click==7.0
,cloudpickle==0.8.0
,cycler==0.10.0
,cython==0.29.5
,decorator==4.4.0
,dill==0.2.9
,future==0.17.1
,gast==0.2.2
,glfw==1.7.1
,google-pasta==0.1.7
,grpcio==1.18.0
,gym==0.10.5
,h5py==2.9.0
,idna==2.8
,imageio==2.5.0
,joblib==0.13.2
,keras==2.2.4
,keras-applications==1.0.7
,keras-preprocessing==1.0.9
,keras-vis==0.4.1
,kiwisolver==1.0.1
,lockfile==0.12.2
,logger==1.4
,markdown==3.0.1
,matplotlib==3.0.2
,mpi4py==3.0.1
,mujoco-py==1.50.1.68
,networkx==2.3
,numpy==1.16.1
,openai-shim==0.0.1
,opencv-python==4.0.0.21
,pandas==0.24.1
,pillow==5.4.1
,progressbar2==3.39.2
,protobuf==3.6.1
,pycparser==2.19
,pygame==1.9.4
,pyglet==1.3.2
,pyopengl==3.1.0
,pyparsing==2.3.1
,python-dateutil==2.8.0
,python-utils==2.3.0
,pytz==2018.9
,pywavelets==1.0.3
,pyyaml==5.1
,requests==2.21.0
,scikit-image==0.15.0
,scipy==1.2.1
,six==1.12.0
,tensorboard==1.12.2
,tensorflow==1.12.2
,tensorflow-estimator==1.14.0
,termcolor==1.1.0
,torch==1.0.1.post2
,tqdm==4.31.1
,urllib3==1.24.1
,werkzeug==0.14.1
,wrapt==1.11.2
"
conservative-uncertainty-estimation-random-priors,"mkl
,numpy
,scipy
,pandas
,sklearn
,tqdm
,pydot
,pyqt5
,graphviz
,matplotlib
,seaborn
,jupyterlab
,tensorflow-gpu
,torch
,torchvision
"
local-ensembles,"absl-py==0.7.1
,astor==0.8.0
,astroid==2.3.1
,attrs==19.1.0
,backcall==0.1.0
,bleach==3.1.0
,certifi==2019.6.16
,chardet==3.0.4
,cloudpickle==1.1.1
,cycler==0.10.0
,decorator==4.4.0
,defusedxml==0.6.0
,dill==0.2.9
,entrypoints==0.3
,future==0.17.1
,gast==0.2.2
,google-pasta==0.1.7
,googleapis-common-protos==1.6.0
,graphviz==0.13
,grpcio==1.21.1
,h5py==2.9.0
,idna==2.8
,ipykernel==5.1.1
,ipython==7.6.1
,ipython-genutils==0.2.0
,ipywidgets==7.5.0
,isort==4.3.21
,jedi==0.14.0
,jinja2==2.10.1
,joblib==0.13.2
,jsonschema==3.0.1
,jupyter-client==5.3.1
,jupyter-core==4.5.0
,keras-applications==1.0.8
,keras-preprocessing==1.1.0
,kiwisolver==1.1.0
,lazy-object-proxy==1.4.2
,llvmlite==0.29.0
,markdown==3.1.1
,markupsafe==1.1.1
,matplotlib==3.1.0
,mccabe==0.6.1
,memory-profiler==0.55.0
,mistune==0.8.4
,nbconvert==5.5.0
,nbformat==4.4.0
,notebook==6.0.0
,numba==0.45.1
,numpy==1.16.5
,objgraph==3.4.1
,pandas==0.24.2
,pandocfilters==1.4.2
,parso==0.5.0
,pexpect==4.7.0
,pickleshare==0.7.5
,pillow==6.1.0
,prometheus-client==0.7.1
,promise==2.2.1
,prompt-toolkit==2.0.9
,protobuf==3.8.0
,psutil==5.6.3
,ptyprocess==0.6.0
,pygments==2.4.2
,pylint==2.4.2
,pyparsing==2.4.0
,pyrsistent==0.15.3
,python-dateutil==2.8.0
,pytz==2019.1
,pyzmq==18.0.2
,requests==2.22.0
,scikit-learn==0.21.2
,scipy==1.3.0
,seaborn==0.9.0
,send2trash==1.5.0
,six==1.12.0
,sklearn==0.0
,tb-nightly==1.14.0a20190603
,tensorboard==1.14.0
,tensorflow-datasets==1.0.2
,tensorflow-estimator==1.14.0
,tensorflow-gpu==2.0.0b1
,tensorflow-metadata==0.13.0
,termcolor==1.1.0
,terminado==0.8.2
,testpath==0.4.2
,tf-estimator-nightly==1.14.0.dev2019060501
,tfp-nightly==0.8.0.dev20190624
,tornado==6.0.3
,tqdm==4.32.2
,traitlets==4.3.2
,typed-ast==1.4.0
,urllib3==1.25.3
,wcwidth==0.1.7
,webencodings==0.5.1
,werkzeug==0.15.4
,widgetsnbextension==3.5.0
,wrapt==1.11.2
"
max-margin,"numpy==1.18.3
,tensorflow==2.2.0rc3
,foolbox==3.0.0
"
AdvectiveNet-An-Eulerian-Lagrangian-Fluidic-Reservoir-for-Point-Cloud-Processing,"h5py==2.10.0
,torch==1.5.0+cu101
,numpy==1.18.3
,matplotlib==3.2.1
,scikit_learn==0.22.2.post1
,segmentation==0.2.0
,semantic==1.0.3
"
hybrid-snn-conversion,"torch==1.5.0+cu101
,numpy==1.18.3
,torchvision==0.6.0+cu101
,matplotlib==3.2.1
,torchviz==0.0.1
"
guiding-synthesizers,"requests==2.23.0
,torchvision==0.6.0+cu101
,numpy==1.18.3
,torch==1.5.0+cu101
,tqdm==4.38.0
,scikit_image==0.16.2
,joblib==0.14.1
,flask==1.1.2
,flask_restful==0.3.8
,pillow==7.1.2
,skimage==0.0
"
gnn-asymptotics,"chainer==6.5.0
,matplotlib==3.2.1
,numpy==1.18.3
,scipy==1.4.1
,networkx==2.4
,pytest==3.6.4
,chainer_chemistry==0.7.0
,cupy==7.4.0
,mock==4.0.2
,optuna==1.3.0
"
s2p,"torch==1.5.0+cu101
,numpy==1.18.3
"
DPMPN,"# in python 3.7
,
,tensorflow == 2.0.0-alpha0
,networkx == 2.3
"
CoDAIL,"scipy==1.4.1
,tqdm==4.38.0
,numpy==1.18.3
,seaborn==0.10.1
,tensorflow==2.2.0rc3
,pyglet==1.5.0
,imageio==2.4.1
,cloudpickle==1.3.0
,matplotlib==3.2.1
,joblib==0.14.1
,six==1.12.0
,lxml==4.2.6
,click==7.1.2
,gym==0.17.1
,baselines==0.1.5
,box2d==2.3.10
,mpi4py==3.0.3
,pillow==7.1.2
,ray==0.8.4
,rl_algs==0.0.0
,scikit_learn==0.22.2.post1
,ujson==2.0.3
"
MMT,"torch==1.5.0+cu101
,h5py==2.10.0
,numpy==1.18.3
,torchvision==0.6.0+cu101
,metric_learn==0.5.0
,pillow==7.1.2
,scikit_learn==0.22.2.post1
"
2simplicialtransformer,"keras==2.3.1
,tensorflow==2.2.0rc3
,numpy==1.18.3
,gym==0.17.1
,keras_transformer==0.33.0
,ray==0.8.4
"
UVR-NMT,"botocore==1.15.47
,nltk==3.2.5
,torch==1.5.0+cu101
,numpy==1.18.3
,pyarrow==0.14.1
,requests==2.23.0
,torchvision==0.6.0+cu101
,spacy==2.2.4
,boto3==1.12.47
,tqdm==4.38.0
,regex==2019.12.20
,apex==0.9.10dev
,fastbpe==0.1.0
,pillow==7.1.2
,pytorch_transformers==1.2.0
,sacrebleu==1.4.9
,sacremoses==0.0.41
,scikit_learn==0.22.2.post1
,sentencepiece==0.1.86
,soundfile==0.10.3.post1
,subword_nmt==0.3.7
,tensorboardx==2.0
"
SV-RL,"absl-py==0.7.1
,astor==0.7.1
,atari-py==0.1.7
,certifi==2019.3.9
,cffi==1.12.3
,chardet==3.0.4
,cvxpy==1.0.21
,cycler==0.10.0
,dill==0.2.9
,ecos==2.0.7.post1
,fastcache==1.0.2
,future==0.17.1
,gast==0.2.2
,grpcio==1.16.1
,gym==0.12.1
,h5py==2.9.0
,idna==2.8
,keras==2.2.4
,keras-applications==1.0.7
,keras-preprocessing==1.0.9
,kiwisolver==1.1.0
,knnimpute==0.1.0
,markdown==3.1
,matplotlib==3.0.3
,mkl-fft==1.0.10
,mkl-random==1.0.2
,mock==2.0.0
,multiprocess==0.70.7
,numpy==1.16.3
,olefile==0.46
,opencv-python==4.1.0.25
,osqp==0.5.0
,pandas==0.24.2
,pbr==5.1.3
,pillow==6.0.0
,protobuf==3.6.1
,pycparser==2.19
,pyglet==1.3.2
,pyopengl==3.1.0
,pyparsing==2.4.0
,python-dateutil==2.8.0
,pytz==2019.1
,pyyaml==5.1
,requests==2.21.0
,scikit-learn==0.20.3
,scipy==1.2.1
,scs==2.1.0
,seaborn==0.9.0
,six==1.12.0
,tensorboard==1.13.1
,tensorflow==1.13.1
,tensorflow-estimator==1.13.0
,termcolor==1.1.0
,torch==1.0.1
,torchvision==0.2.2
,urllib3==1.24.2
,werkzeug==0.15.2
"
Early-Bird-Tickets,"matplotlib==3.2.1
,numpy==1.18.3
,torch==1.5.0+cu101
,scipy==1.4.1
,torchvision==0.6.0+cu101
,pillow==7.1.2
,qtorch==0.2.0
"
Learning-From-Rules,"numpy==1.18.3
,matplotlib==3.2.1
,textblob==0.15.3
,pandas==1.0.3
,tqdm==4.38.0
,torch==1.5.0+cu101
,tensorflow_hub==0.8.0
,tensorflow==2.2.0rc3
,scikit_learn==0.22.2.post1
,snorkel==0.9.5
"
triple-wins,"torch==1.5.0+cu101
,torchvision==0.6.0+cu101
,numpy==1.18.3
"
sparse-embed,"tqdm==4.38.0
,scipy==1.4.1
,h5py==2.10.0
,absl_py==0.9.0
,numpy==1.18.3
,tensorflow==2.2.0rc3
,absl==0.0
,horovod==0.19.1
,inception==0.0.3
,mxnet==1.6.0
,pillow==7.1.2
,scikit_learn==0.22.2.post1
"
PPLM,"torch
,nltk
,colorama
,transformers
,torchtext
"
provable_pruning,"seaborn==0.10.1
,torch==1.5.0+cu101
,h5py==2.10.0
,scipy==1.4.1
,cvxpy==1.0.31
,requests==2.23.0
,torchvision==0.6.0+cu101
,numpy==1.18.3
,matplotlib==3.2.1
,pillow==7.1.2
,pyyaml==5.3.1
"
lookahead_pruning,"torchvision==0.6.0+cu101
,torch==1.5.0+cu101
,numpy==1.18.3
,backpack==0.1
"
proxsgd,"matplotlib==3.2.1
,tensorflow==2.2.0rc3
,numpy==1.18.3
"
e2efold,"scipy==1.4.1
,numpy==1.18.3
,seaborn==0.10.1
,matplotlib==3.2.1
,pandas==1.0.3
,torch==1.5.0+cu101
,munch==2.5.0
,scikit_learn==0.22.2.post1
"
lord,"keras==2.3.1
,dlib==19.18.0
,opencv_python==4.1.2.30
,h5py==2.10.0
,tensorflow==2.2.0rc3
,imageio==2.4.1
,numpy==1.18.3
,keras_lr_multiplier==0.8.0
,pillow==7.1.2
"
ChocoSGD,"six==1.12.0
,opencv_python==4.1.2.30
,pyarrow==0.14.1
,torch==1.5.0+cu101
,torchtext==0.3.1
,torchvision==0.6.0+cu101
,seaborn==0.10.1
,matplotlib==3.2.1
,networkx==2.4
,spacy==2.2.4
,scipy==1.4.1
,numpy==1.18.3
,pandas==1.0.3
,lmdb==0.98
,tqdm==4.38.0
,joblib==0.14.1
,mpi4py==3.0.3
,msgpack_numpy==0.4.5
,msgpack_python==0.5.6
,pillow==7.1.2
,pyyaml==5.3.1
,scikit_learn==0.22.2.post1
"
NAS-Bench-201,"numpy==1.18.3
,torch==1.5.0+cu101
"
edward2,"tensorflow_probability==0.10.0rc0
,tensorflow_datasets==2.1.0
,six==1.12.0
,scipy==1.4.1
,matplotlib==3.2.1
,absl_py==0.9.0
,pandas==1.0.3
,absl==0.0
,scikit_learn==0.22.2.post1
"
anonymous_iclr2020_apd_code,"tensorflow==2.2.0rc3
,numpy==1.18.3
,scipy==1.4.1
,scikit_learn==0.22.2.post1
"
order-learning,"numpy==1.18.3
,opencv_python==4.1.2.30
,pandas==1.0.3
,tensorflow==2.2.0rc3
"
RAdam,"torch==1.5.0+cu101
,matplotlib==3.2.1
,numpy==1.18.3
,torchvision==0.6.0+cu101
,tqdm==4.38.0
,fairseq==0.9.0
,progress==1.5
,tensorboardx==2.0
"
GAT-Generative-Adversarial-Training,"
"
relational-ssm,"numpy==1.18.3
,scipy==1.4.1
,tensorflow_probability==0.10.0rc0
,tensorboard==2.2.1
,tensorflow==2.2.0rc3
,torch==1.5.0+cu101
,absl_py==0.9.0
,absl==0.0
,load==2019.4.13
,resampling==0.0.0
"
learning_to_retrieve_reasoning_paths,"gdown
,glob2
,jinja2
,joblib
,jsonlines
,nltk
,numpy
,pathlib2
,prettytable
,pytorch-pretrained-bert==0.6.2
,pytorch-transformers==1.2.0
,regex
,scipy
,scikit-learn
,spacy==2.2.3
,tagme==0.1.3
,torch==1.3.0
,tqdm
,ujson
,unicodecsv
,urllib3"
deeprl_network,"matplotlib==3.2.1
,numpy==1.18.3
,pandas==1.0.3
,tensorflow==2.2.0rc3
,seaborn==0.10.1
,sumolib==1.6.0
,traci==1.6.0
"
dynamics-aware-embeddings,"scikit_image==0.16.2
,torchvision==0.6.0+cu101
,scipy==1.4.1
,imageio==2.4.1
,numpy==1.18.3
,matplotlib==3.2.1
,gym==0.17.1
,torch==1.5.0+cu101
,skimage==0.0
"
Neural_Iterated_Learning,"numpy==1.18.3
,torch==1.5.0+cu101
,matplotlib==3.2.1
,pandas==1.0.3
"
packnet-sfm,"termcolor==1.1.0
,opencv_python==4.1.2.30
,matplotlib==3.2.1
,tqdm==4.38.0
,torchvision==0.6.0+cu101
,torch==1.5.0+cu101
,numpy==1.18.3
,pillow==7.1.2
"
macer,"numpy>=1.17.0
,torch>=1.2.0
,torchvision>=0.4.0
,pillow>=6.1.0
,scipy>=1.3.0
,statsmodels>=0.10.1
,pandas>=0.25.0"
ZO-L2L,"torchvision==0.6.0+cu101
,torch==1.5.0+cu101
,numpy==1.18.3
,matplotlib==3.2.1
"
NLIL,"matplotlib==3.2.1
,torch==1.5.0+cu101
,numpy==1.18.3
,tqdm==4.38.0
"
